time,precip
2015-07-17,0.0860957
2015-07-18,4.0605745
2015-07-19,8.007035
2015-07-20,3.3200364
2015-07-21,2.490666
2015-07-22,9.217231
2015-07-23,8.324279
2015-07-24,8.361132
2015-07-25,0.038301606
2015-07-26,0.0025906295
2015-07-27,2.4023523
2015-07-28,1.7296616
2015-07-29,0.12514296
2015-07-30,0.24700035
2015-07-31,1.5362555
2015-08-01,7.275264
2015-08-02,2.0916083
2015-08-03,9.346415
2015-08-04,7.403319
2015-08-05,3.6758115
2015-08-06,4.560064
2015-08-07,18.645285
2015-08-08,5.5760403
2015-08-09,0.009826776
2015-08-10,0.00022089199
2015-08-11,2.2060707
2015-08-12,3.8936346
2015-08-13,0.5212456
2015-08-14,0.46883217
2015-08-15,0.3702794
2015-08-16,0.098675445
2015-08-17,2.2977514
2015-08-18,4.155015
2015-08-19,3.2260299
2015-08-20,5.1418324
2015-08-21,3.2338226
2015-08-22,1.0937337
2015-08-23,0.2794092
2015-08-24,2.3252275
2015-08-25,2.5845492
2015-08-26,5.6072865
2015-08-27,15.356474
2015-08-28,3.4445517
2015-08-29,2.2502642
2015-08-30,5.481387
2015-08-31,20.82763
2015-09-01,1.7883887
2015-09-02,0.37188783
2015-09-03,3.7933967
2015-09-04,3.3112729
2015-09-05,3.4279683
2015-09-06,7.6577215
2015-09-07,5.1131883
2015-09-08,4.605341
2015-09-09,3.0694196
2015-09-10,3.0154564
2015-09-11,5.8018346
2015-09-12,6.2494845
2015-09-13,7.6569643
2015-09-14,0.6379935
2015-09-15,0.0
2015-09-16,2.0489726
2015-09-17,11.02567
2015-09-18,4.02566
2015-09-19,1.5854282
2015-09-20,0.31470197
2015-09-21,3.3422422
2015-09-22,6.1245685
2015-09-23,3.25608
2015-09-24,5.4917784
2015-09-25,29.199877
2015-09-26,14.999298
2015-09-27,5.4187045
2015-09-28,4.996093
2015-09-29,2.8225522
2015-09-30,4.6540956
2015-10-01,26.33452
2015-10-02,36.638107
2015-10-03,6.6316004
2015-10-04,0.913682
2015-10-05,8.986782
2015-10-06,3.9971669
2015-10-07,0.010470693
2015-10-08,0.0
2015-10-09,0.32014534
2015-10-10,23.46823
2015-10-11,10.636523
2015-10-12,1.8538291
2015-10-13,0.11442577
2015-10-14,0.06415197
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,1.021468
2015-10-26,7.5292673
2015-10-27,21.458006
2015-10-28,12.011957
2015-10-29,4.498253
2015-10-30,0.95419383
2015-10-31,0.0
2015-11-01,0.5803346
2015-11-02,2.3217032
2015-11-03,6.7344003
2015-11-04,2.3369865
2015-11-05,0.60483724
2015-11-06,0.008995355
2015-11-07,0.03422421
2015-11-08,3.8078072
2015-11-09,16.921743
2015-11-10,13.919932
2015-11-11,0.0
2015-11-12,0.0063888216
2015-11-13,0.11935208
2015-11-14,0.0
2015-11-15,0.017687436
2015-11-16,1.580237
2015-11-17,0.07574398
2015-11-18,1.1830666
2015-11-19,41.052505
2015-11-20,11.627872
2015-11-21,0.0
2015-11-22,25.146633
2015-11-23,1.6714166
2015-11-24,0.0
2015-11-25,0.016415512
2015-11-26,4.429033e-05
2015-11-27,0.034709204
2015-11-28,0.3976964
2015-11-29,0.50011855
2015-11-30,18.776217
2015-12-01,14.248123
2015-12-02,7.004684
2015-12-03,5.4644375
2015-12-04,1.1859676
2015-12-05,0.058881503
2015-12-06,0.0
2015-12-07,1.2926688
2015-12-08,0.15702261
2015-12-09,0.0
2015-12-10,0.0026927541
2015-12-11,0.013674597
2015-12-12,0.0
2015-12-13,2.2631216
2015-12-14,0.7219027
2015-12-15,0.15714829
2015-12-16,0.0
2015-12-17,1.2764668
2015-12-18,6.538254
2015-12-19,0.40356258
2015-12-20,0.0
